prompt,target,is_member,avg_logp_true,bg_mu_avg,bg_sd_avg,z_score
"task: generate interview mock question
query: Help me prepare for ML Engineer at Microsoft in Vancouver. Focus on the ML Case Study round.
role: ML Engineer
company: Microsoft
location: Vancouver
round: ML Case Study
target:",Join two large tables and handle skew.,1,-4.053069274544762e-06,-2.321326134267724,0.5971430904310582,3.887379956992825
"task: generate interview mock question
query: Help me prepare for Data Engineer at Google in Bay Area. Focus on the System Design round.
role: Data Engineer
company: Google
location: Bay Area
round: System Design
target:",Design a URL shortener.,1,-6.779862806690132e-06,-3.5852360978610602,0.14288319019318851,25.092030162195858
"task: generate interview mock question
query: Help me prepare for Data Scientist at Amazon in LA. Focus on the Technical round.
role: Data Scientist
company: Amazon
location: LA
round: Technical
target:",Implement mini-batch GD with early stopping.,1,-7.718677800701412e-06,-1.7575835483869593,0.8599825770760822,2.0437342296920358
"task: generate interview mock question
query: Help me prepare for Frontend Engineer at Airbnb in Toronto. Focus on the Behavioral/HR round.
role: Frontend Engineer
company: Airbnb
location: Toronto
round: Behavioral/HR
target:",Tell me about a time you handled ambiguity.,1,-1.885669584661449e-06,-2.1268443825200185,0.5622654974927961,3.7826302811292165
"task: generate interview mock question
query: Help me prepare for Security Engineer at Airbnb in Seattle. Focus on the Behavioral/HR round.
role: Security Engineer
company: Airbnb
location: Seattle
round: Behavioral/HR
target:",Tell me about a time you handled ambiguity.,1,-7.911152013963143e-07,-1.4893340075564991,0.29920468398821093,4.9776400442313244
"task: generate interview mock question
query: Help me prepare for Data Engineer at Amazon in Bay Area. Focus on the Technical round.
role: Data Engineer
company: Amazon
location: Bay Area
round: Technical
target:",Daily user embeddings pipeline with real-time serving.,1,-4.010493282158038e-06,-1.6797256968625476,0.33872819703916224,4.95890717410533
"task: generate interview mock question
query: Help me prepare for SRE at Amazon in Austin. Focus on the System Design round.
role: SRE
company: Amazon
location: Austin
round: System Design
target:",Design a real-time ride dispatch system.,1,-0.00019469177756031066,-2.5555274246565514,0.43912538887485025,5.819141406117275
"task: generate interview mock question
query: Help me prepare for Data Engineer at Microsoft in Austin. Focus on the System Design round.
role: Data Engineer
company: Microsoft
location: Austin
round: System Design
target:",Design a URL shortener.,1,-3.099407645768412e-06,-2.148333576607947,1.3419627180587994,1.6008868564604717
"task: generate interview mock question
query: Help me prepare for Data Scientist at Netflix in NYC. Focus on the System Design round.
role: Data Scientist
company: Netflix
location: NYC
round: System Design
target:",Design a real-time ride dispatch system.,1,-2.0242150621713185e-05,-2.1689951400112184,0.3571567656089641,6.072893213047281
"task: generate interview mock question
query: Help me prepare for Data Scientist at Apple in Boston. Focus on the Technical round.
role: Data Scientist
company: Apple
location: Boston
round: Technical
target:",Implement mini-batch GD with early stopping.,1,-4.5994353626632705e-06,-1.9146056544153063,0.7389755044781422,2.5908856834598564
"task: generate interview mock question
query: Help me prepare for Software Engineer at Uber in Austin. Focus on the Technical round.
role: Software Engineer
company: Uber
location: Austin
round: Technical
target:",Find the longest consecutive sequence length.,1,-2.0065910755609464e-05,-1.9494198406599734,0.6609806766741363,2.949253803542388
